,Portfolio,TWII
2011-01-01,1000.0,1000.0
2011-06-29,1043.3140543324607,949.9273577985762
2012-08-17,1223.9606026790968,827.4428246308946
2013-06-26,1551.8476761061327,862.553023613287
2013-09-13,1624.6019490954918,905.0335900525791
2014-08-18,2232.775612353601,1012.8537797478931
2014-09-04,2242.107707669966,1044.7176670789568
2015-08-20,1793.9409763107565,889.6999558422842
2015-10-21,1824.3552156340015,953.8996045498568
2015-12-21,1864.8379043747782,917.6612792666593
2016-03-01,1945.6509733776277,940.2127685589272
2016-11-22,2019.4603701429305,1011.9786324698466
2017-01-13,2032.489345064849,1039.1740938227563
2017-12-18,2422.8753252844076,1164.1229001956635
2018-01-12,2499.7782529286396,1205.9433190653017
2018-05-04,2997.5798928536033,1166.6547462835722
2018-05-24,2998.2928978926584,1211.8123674713986
2018-07-06,3010.8478228721897,1175.4301319656738
2019-01-28,3109.1176042182224,1109.4774836226377
2019-05-27,4348.5919484074475,1145.0221183519832
2019-09-19,4478.3163819443935,1207.1333375821112
2020-03-02,5093.239933155043,1237.6875336850007
2020-05-18,5224.2391176731635,1190.05346643478
2021-05-24,11059.199734127942,1810.283370048474
2021-06-04,10968.040058803725,1899.9339203211296
2022-01-05,10838.844513179103,2049.796615902426
