,Portfolio,TWII
2011-01-01,1000.0,1000.0
2011-01-03,984.7555385387121,996.8854798156175
2011-01-04,963.9901228846301,980.1157514432984
2011-01-05,953.9834897847772,984.2869313225467
2011-01-06,937.9781765037808,972.974620360804
2011-01-07,957.8301991455667,976.9779685671474
2011-01-10,973.7063198463001,989.8472646370411
2011-01-11,968.2834020161763,993.613742773875
2011-01-12,971.5729468738049,994.7939008675656
2011-01-13,973.390425099759,994.4518256110092
2011-01-14,973.9149731420729,989.1667828979205
2011-01-17,978.8676874970175,996.2154951675599
2011-01-18,989.007621580362,1007.1210266300905
2011-01-19,985.0668288823639,1000.09387103364
2011-01-20,982.7417057812709,992.580125545654
2011-01-21,971.7314262907222,991.8441875720944
2011-01-24,976.4001961979295,996.716873561938
2011-01-25,982.4511110537895,1003.8569774095025
2011-01-26,982.568912557009,1009.0184756221954
2011-01-27,1002.1159530115814,1013.7447042275943
2011-01-28,1007.2801770274215,1010.0390202959622
2011-02-08,998.573348375284,998.5546846511138
2011-02-09,969.2581531449265,979.6511884812332
2011-02-10,943.8087362591164,953.9964023948933
2011-02-11,943.69070337562,962.7781543535016
2011-02-14,951.0663581260565,966.975980995798
2011-02-15,942.8443905607392,965.9475664102479
2011-02-16,944.7377509787941,962.6099881573869
2011-02-17,963.969320449233,981.0303897200941
2011-02-18,968.8537450930996,980.5079770458834
2011-02-21,947.2249009954661,961.778902152122
2011-02-22,938.7315747534278,945.0927668451658
2011-02-23,933.8476673160804,946.5817286732866
2011-02-24,948.0066440993561,953.3732773036926
2011-02-25,958.1393437926534,968.2470981230899
2011-03-01,922.1086619181167,955.9115103389282
2011-03-02,947.5794917248372,969.6553083074886
2011-03-03,970.1795198979131,974.9229317404166
2011-03-04,952.5523825646703,966.8847495691169
2011-03-07,961.6388884056161,970.7820303598206
2011-03-08,951.6305716835454,971.0414730291865
2011-03-09,935.3417507203184,958.7992677670583
2011-03-10,918.0161848776614,950.1123276564608
2011-03-11,949.2004789912892,944.5332002585205
2011-03-14,943.4776822968589,911.0543642448133
2011-03-15,944.8255452620966,921.9593493368075
2011-03-16,939.795289991264,916.9272864326778
2011-03-17,945.8129932584511,930.4567074910308
2011-03-18,951.6626445289709,939.1478824544536
2011-03-21,942.2949502474883,943.9107087440368
2011-03-22,953.870106357874,948.2642589380176
2011-03-23,948.4820785662274,951.9295763293384
2011-03-24,960.9692130480737,955.8927058455041
2011-03-25,957.5909099036651,949.2344365872094
2011-03-28,975.7434244327723,954.3216110388724
2011-03-29,996.575041920784,960.1075747972213
2011-03-30,991.6490277950526,964.385743644273
2011-03-31,987.6303757469785,966.8997831954663
2011-04-01,1009.2431887060545,983.7692764207451
2011-04-06,1016.3046527485011,989.388184246364
2011-04-07,1014.7219555234725,988.5816306251938
2011-04-08,1004.4103627326185,986.9772125190835
2011-04-11,991.1748845623124,970.347169637254
2011-04-12,986.8178983968135,975.7992208746592
2011-04-13,984.7108558726942,978.3652621528772
2011-04-14,968.852241303328,968.753396650434
2011-04-15,984.9269467297364,968.3359142296139
2011-04-18,982.3431265078138,959.6227218447062
