,Portfolio,TWII
2011-01-01,1000.0,1000.0
2011-01-03,984.75553833082,996.8854798156175
2011-01-04,963.9901228264124,980.1157514432984
2011-01-05,953.983489564494,984.2869313225467
2011-01-06,937.9781763178923,972.974620360804
2011-01-07,957.8301991636255,976.9779685671474
2011-01-10,973.7063198515618,989.8472646370411
2011-01-11,968.2834019845194,993.613742773875
2011-01-12,971.5729467244647,994.7939008675656
2011-01-13,973.3904248401703,994.4518256110092
2011-01-14,973.9149728166373,989.1667828979205
2011-01-17,978.8676872390694,996.2154951675599
2011-01-18,989.007621249624,1007.1210266300905
2011-01-19,985.0668286190734,1000.09387103364
2011-01-20,982.7417055788084,992.580125545654
2011-01-21,971.7314260979686,991.8441875720944
2011-01-24,976.4001959653159,996.716873561938
2011-01-25,982.4511107731951,1003.8569774095025
2011-01-26,982.5689121110221,1009.0184756221954
2011-01-27,1002.1159520937917,1013.7447042275943
2011-01-28,1007.280176068964,1010.0390202959622
2011-02-08,998.5733475044265,998.5546846511138
2011-02-09,969.2581522341809,979.6511884812332
2011-02-10,943.8087350336675,953.9964023948933
2011-02-11,943.6907022037202,962.7781543535016
2011-02-14,951.0663566078262,966.975980995798
2011-02-15,942.844389138928,965.9475664102479
2011-02-16,944.7377495037534,962.6099881573869
2011-02-17,963.9693191392817,981.0303897200941
2011-02-18,968.853743534774,980.5079770458834
2011-02-21,947.2248993471521,961.778902152122
2011-02-22,938.7315736551246,945.0927668451658
2011-02-23,933.8476661592041,946.5817286732866
2011-02-24,948.0066431272733,953.3732773036926
2011-02-25,958.1393429455547,968.2470981230899
2011-03-01,922.1086609988989,955.9115103389282
2011-03-02,947.5794908618018,969.6553083074886
2011-03-03,970.1795188859608,974.9229317404166
2011-03-04,952.5523817163919,966.8847495691169
2011-03-07,961.6388873456656,970.7820303598206
2011-03-08,951.6305706926319,971.0414730291865
2011-03-09,935.3417498759252,958.7992677670583
2011-03-10,918.0161837919139,950.1123276564608
2011-03-11,949.2004774934744,944.5332002585205
2011-03-14,943.477680703952,911.0543642448133
2011-03-15,944.8255438100398,921.9593493368075
2011-03-16,939.795288449461,916.9272864326778
2011-03-17,945.81299150845,930.4567074910308
2011-03-18,951.6626426769785,939.1478824544536
2011-03-21,942.294948447016,943.9107087440368
2011-03-22,953.8701044748569,948.2642589380176
2011-03-23,948.4820766869551,951.9295763293384
2011-03-24,960.969211273651,955.8927058455041
2011-03-25,957.5909081186276,949.2344365872094
2011-03-28,975.7434225911431,954.3216110388724
2011-03-29,996.5750401633312,960.1075747972213
2011-03-30,991.6490260483008,964.385743644273
2011-03-31,987.6303739303887,966.8997831954663
2011-04-01,1009.2431866219841,983.7692764207451
2011-04-06,1016.3046504567873,989.388184246364
2011-04-07,1014.721953349917,988.5816306251938
2011-04-08,1004.4103602648281,986.9772125190835
2011-04-11,991.1748822425,970.347169637254
2011-04-12,986.8178961866064,975.7992208746592
2011-04-13,984.7108538118782,978.3652621528772
2011-04-14,968.8522394179955,968.753396650434
2011-04-15,984.9269448036472,968.3359142296139
2011-04-18,982.3431246607845,959.6227218447062
2011-04-19,993.1228481480111,979.8496261914038
2011-04-20,1011.8302118154678,996.2305495305795
2011-04-21,1010.6093525132571,997.5455529102102
2011-04-22,1003.7513576798731,995.4629504148761
2011-04-25,1003.4123764734654,995.1713143792671
2011-04-26,1013.8700861967482,1006.4709510320549
2011-04-27,1016.2641956073355,1005.533801559304
2011-04-28,1024.7796898186396,1001.8947822506497
2011-04-29,1021.7682900649149,995.0351954650545
2011-05-03,1010.3384220814787,995.1771052122019
2011-05-04,1023.6279884596443,1003.141587404619
2011-05-05,997.6452211250983,998.5532934718373
2011-05-06,995.994117290426,1005.0419556095234
2011-05-09,1009.2389433406676,1003.691696463093
2011-05-10,1017.7307670881701,1003.3725338833632
2011-05-11,1024.0449908993542,1004.8446798170012
2011-05-12,1023.1736108201421,1001.8481782398894
2011-05-13,1014.2866601463788,991.3113906166952
2011-05-16,1022.101084337213,988.2120729531268
2011-05-17,1033.768697286192,995.0501653311293
2011-05-18,1026.5225185628765,989.241212379423
2011-05-19,1018.7466441791769,982.9610374451057
2011-05-20,1015.9739887393199,972.8308430807247
2011-05-23,1015.6403003503418,973.8712099632758
2011-05-24,1011.982739539041,970.4999720903195
2011-05-25,1016.8191457259348,977.5253120805417
2011-05-26,1037.414452133493,979.9830617983249
2011-05-27,1033.0714092728272,981.5358129379199
2011-05-30,1054.1548970515928,1000.2536028789464
2011-05-31,1061.9874388046424,1008.4314169093735
2011-06-01,1045.1336437405068,1000.5980677172402
2011-06-02,1072.1915734599834,1006.7061673301592
2011-06-03,1074.7261703719637,1007.9020620797625
2011-06-07,1059.720677141071,1002.4291680436298
2011-06-08,1064.74948655326,1001.6975726072328
2011-06-09,1043.4471548342938,983.5750504526193
2011-06-10,1031.1548170356814,969.4459362474269
2011-06-13,1054.2582523075785,982.7893151294478
2011-06-14,1063.5530057974227,983.0430459345575
2011-06-15,1031.415829730514,962.9986421435822
2011-06-16,1051.8227035806808,960.8806347135173
2011-06-17,1045.8501892643949,948.6736987087327
2011-06-20,1057.6223989382406,956.5207501774547
2011-06-21,1040.167765237754,959.2447609317428
2011-06-22,1024.180639445199,953.0088582630257
2011-06-23,1027.382571625772,948.9877075826662
2011-06-24,1018.4071654637088,945.1589608523053
2011-06-27,1007.8581644576547,942.6531391913032
2011-06-28,1043.3140539357223,953.800850862838
2011-06-29,1043.3140539357223,962.5773185766878
2011-06-30,1043.3140539357223,972.153979301214
2011-07-01,1043.3140539357223,975.9471957800496
2011-07-04,1043.3140539357223,976.9995365996486
2011-07-05,1043.3140539357223,981.3250521532663
2011-07-06,1043.3140539357223,975.8328111933902
2011-07-07,1043.3140539357223,973.24830471337
2011-07-08,1043.3140539357223,964.161048796631
2011-07-11,1043.3140539357223,944.9954994347484
2011-07-12,1043.3140539357223,944.6654465962736
2011-07-13,1043.3140539357223,943.9145093989536
2011-07-14,1043.3140539357223,954.3935091905739
2011-07-15,1043.3140539357223,950.3677712104756
2011-07-18,1043.3140539357223,948.8102466230895
2011-07-19,1043.3140539357223,969.0467022963209
2011-07-20,1043.3140539357223,970.2436100106221
2011-07-21,1043.3140539357223,975.493990520448
2011-07-22,1043.3140539357223,966.6278727304687
2011-07-25,1043.3140539357223,978.7412110945409
2011-07-26,1043.3140539357223,981.2526153107245
2011-07-27,1043.3140539357223,975.8347404665346
2011-07-28,1043.3140539357223,962.5054023772099
2011-07-29,1043.3140539357223,968.7912773746353
2011-08-01,1043.3140539357223,956.055471570194
2011-08-02,1043.3140539357223,941.9073597998439
2011-08-03,1043.3140539357223,926.2275875315162
2011-08-04,1043.3140539357223,873.2176018139364
2011-08-05,1043.3140539357223,836.8891676453168
2011-08-08,1043.314053935722,829.3832548846883
2011-08-09,1043.3140539357223,860.2144683093246
2011-08-10,1043.3140539357223,858.0988253237462
2011-08-11,1043.3140539357223,847.9991032306001
2011-08-12,1043.3140539357223,870.6832151768376
2011-08-15,1043.3140539357223,868.1563122096896
2011-08-16,1043.3140539357223,861.233952339272
2011-08-17,1043.3140539357223,845.676596543962
2011-08-18,1043.3140539357223,811.7447459440644
2011-08-19,1043.3140539357223,807.8158787463974
2011-08-22,1043.3140539357223,838.6860360394145
2011-08-23,1043.3140539357223,832.7351415129058
2011-08-24,1043.3140539357223,821.0796028677054
2011-08-25,1043.3140539357223,825.4672276009028
2011-08-26,1043.3140539357223,842.4252365431312
2011-08-29,1043.3140539357223,850.9718685024042
2011-08-30,1043.3140539357223,862.7953850172022
2011-08-31,1043.3140539357223,864.8077929340707
2011-09-01,1043.3140539357223,864.7221144212284
2011-09-02,1043.3140539357223,839.5577455922058
2011-09-05,1043.3140539357223,816.3642587415808
2011-09-06,1043.3140539357223,837.229364184587
2011-09-07,1043.3140539357223,839.6719872548762
2011-09-08,1043.3140539357223,847.4995616769247
2011-09-09,1043.3140539357223,820.1397628873925
2011-09-13,1043.3140539357223,799.204105463153
2011-09-14,1043.3140539357223,819.8638217595153
2011-09-15,1043.3140539357223,844.5222916077557
2011-09-16,1043.3140539357223,832.4223062262589
2011-09-19,1043.3140539357223,833.9422981311405
2011-09-20,1043.3140539357223,839.3974797488764
2011-09-21,1043.3140539357223,810.3571400177545
2011-09-22,1043.3140539357223,776.6433566709254
2011-09-23,1043.3140539357223,753.8462549573363
2011-09-26,1043.3140539357223,783.2442307501118
2011-09-27,1043.3140539357223,790.885171698261
2011-09-28,1043.3140539357223,795.6208032345367
2011-09-29,1043.3140539357223,801.2773218385116
2011-09-30,1043.3140539357223,773.483185189017
2011-10-03,1043.3140539357223,778.0743885292021
2011-10-04,1043.3140539357223,770.1599204095872
2011-10-05,1043.3140539357223,789.5752702745185
2011-10-06,1043.3140539357223,800.2252950365385
2011-10-07,1043.3140539357223,824.8232051465677
2011-10-11,1043.3140539357223,822.7227389513804
2011-10-12,1043.3140539357223,828.639256787738
2011-10-13,1043.3140539357223,819.6557239864923
2011-10-14,1043.3140539357223,832.9582324194904
2011-10-17,1043.3140539357223,820.0176678440307
2011-10-18,1043.3140539357223,819.2290322002076
2011-10-19,1043.3140539357223,805.1416432526868
2011-10-20,1043.3140539357223,806.4777627302672
2011-10-21,1043.3140539357223,834.7340687659411
2011-10-24,1043.3140539357223,837.39302543451
2011-10-25,1043.3140539357223,843.0497649180263
2011-10-26,1043.3140539357223,846.7544893749586
2011-10-27,1043.3140539357223,853.1395180924052
2011-10-28,1043.3140539357223,849.6009886962242
2011-10-31,1043.3140539357223,853.8976144112612
2011-11-01,1043.3140539357223,850.9613855615712
2011-11-02,1043.3140539357223,833.6917237808882
2011-11-03,1043.3140539357223,851.8897774170732
2011-11-04,1043.3140539357223,854.199906938556
2011-11-07,1043.3140539357223,851.591280385946
2011-11-08,1043.3140539357223,846.7258678440713
