,Portfolio,TWII
2011-01-01,1000.0,1000.0
2011-06-29,1043.3140539357225,949.9273577985762
2012-08-17,1223.9606022136643,827.4428246308946
2013-06-26,1551.8476749660604,862.553023613287
2013-09-13,1624.6019486699322,905.0335900525791
2014-08-18,2232.775609721255,1012.8537797478931
2014-09-04,2242.1077051158272,1044.7176670789568
2015-08-20,1793.9409758567822,889.6999558422842
2015-10-21,1824.355214571223,953.8996045498568
2015-12-21,1864.8379053543952,917.6612792666593
2016-03-01,1945.6509743675615,940.2127685589272
2016-11-22,2019.4603608900588,1011.9786324698466
2017-01-13,2032.489335201333,1039.1740938227563
2017-12-18,2422.8753033018156,1164.1229001956635
2018-01-12,2499.778230168822,1205.9433190653017
2018-05-04,2997.5798657191153,1166.6547462835722
2018-05-24,2998.292869332848,1211.8123674713986
2018-07-06,3010.847795184054,1175.4301319656738
2019-01-28,3109.1175747603297,1109.4774836226377
2019-05-27,4348.591907212298,1145.0221183519832
2019-09-19,4478.316326520718,1207.1333375821112
2020-03-02,5093.239818675606,1237.6875336850007
2020-05-18,5224.238999245061,1190.05346643478
2021-05-24,11059.199470723514,1810.283370048474
2021-06-04,10968.039796860177,1899.9339203211296
2022-01-06,10828.822141097882,2035.1664646333052
