排行,證券名稱,,市值佔 大盤比重,排行,證券名稱,,市值佔 大盤比重
1,2330,台積電,30.1772%,455,4961,天鈺,0.0172%
2,2317,鴻海,2.7633%,456,6281,全國電,0.0172%
3,2454,聯發科,2.709%,457,9905,大華,0.0172%
4,6505,台塑化,2.088%,458,2406,國碩,0.0171%
5,2412,中華電,2.0386%,459,1701,中化,0.017%
6,2308,台達電,1.4124%,460,1709,和益,0.017%
7,1301,台塑,1.3136%,461,6183,關貿,0.017%
8,2882,國泰金,1.2886%,462,5243,乙盛-KY,0.0169%
9,1303,南亞,1.2332%,463,9919,康那香,0.0169%
10,2303,聯電,1.2185%,464,1720,生達,0.0169%
11,2881,富邦金,1.098%,465,1109,信大,0.0169%
12,1326,台化,1.0931%,466,1225,福懋油,0.0169%
13,3008,大立光,1.0478%,467,2706,第一店,0.0169%
14,2886,兆豐金,0.9371%,468,4755,三福化,0.0168%
15,2891,中信金,0.9043%,469,1522,堤維西,0.0167%
16,1216,統一,0.8945%,470,2314,台揚,0.0166%
17,2002,中鋼,0.8689%,471,4960,誠美材,0.0165%
18,2207,和泰車,0.8479%,472,3504,揚明光,0.0165%
19,3045,台灣大,0.8253%,473,3617,碩天,0.0165%
20,3711,日月光投控,0.8049%,474,6184,大豐電,0.0165%
21,2884,玉山金,0.7655%,475,5607,遠雄港,0.0164%
22,2382,廣達,0.7204%,476,3454,晶睿,0.0163%
23,2892,第一金,0.6622%,477,3003,健和興,0.0162%
24,5880,合庫金,0.6556%,478,9918,欣天然,0.0161%
25,2912,統一超,0.6522%,479,1583,程泰,0.016%
26,1101,台泥,0.5964%,480,1737,臺鹽,0.0158%
27,2395,研華,0.5736%,481,4976,佳凌,0.0157%
28,2880,華南金,0.5651%,482,4763,材料-KY,0.0157%
29,2885,元大金,0.5615%,483,5546,永固-KY,0.0156%
30,2408,南亞科,0.5423%,484,2029,盛餘,0.0156%
31,2327,國巨,0.5308%,485,2477,美隆電,0.0156%
32,5871,中租-KY,0.5219%,486,2601,益航,0.0156%
